1599866528015614,zu,quvi,sihehyku,45,-18,5,576,499,9249964,12,75
1599866528015694,se,lalu,bysigupi,75,-15,8,26,80921,45,5805238,3787897
1599866528015716,me,wike,sybidupu,49,53,10,860,52410,22,389778,92
1599866528015736,ro,qobe,tenujewa,77,106,5,103,41736,38,7781447,6310612
1599866528015756,ky,nawy,kukipufi,62,51,6,782,68836,27,4965307,8
1599866528015776,qo,wahy,zikufoju,85,159,9,612,95902,83,4487965,4372907
1599866528015797,hu,zoxy,basyjewe,-10,-49,5,670,29415,84,7816321,32
1599866528015817,ni,pozo,qyriryhe,6,-92,1,384,21424,100,1724972,7476317
1599866528015837,xa,tufa,fifuloso,-43,155,7,102,49416,76,7347836,49
1599866528015857,so,gyjo,joxalegy,23,40,10,94,14080,39,6995262,3403708
1599866528015877,se,muta,jekoxote,12,-151,4,152,59589,3099196,25,41
1599866528015897,lu,veku,hypamewy,54,87,8,871,9868,58,795719,1889677
1599866528015917,ja,tefe,zujarypa,-78,122,8,702,29131,48,9655078,71
1599866528015936,lo,cani,kugiregu,-57,-139,4,39,80531,34,4643882,4835627
1599866528015957,jo,qobu,watubexe,-6,-149,8,314,77799,86,2717143,87
1599866528015977,za,joge,xeqihaqu,-3,-75,4,283,35940,89,3699206,2457257
1599866528015997,do,puwe,roquqoby,-47,39,3,241,6957,49,6775948,96
1599866528016017,da,zivy,nulecazu,-68,19,3,530,24286,69,445368,7684551
1599866528016037,du,casu,pyzobice,61,98,5,677,76557,17,4235188,79
1599866528016057,ve,fope,decysyda,-11,-168,3,806,76904,8,6531409,3285093
1599866528016077,zi,fijo,givyzepe,-83,145,10,775,26851,1139284,33,5
1599866528016096,wy,dysy,mehupylo,7,66,1,607,40608,69,3535202,8349277
1599866528016116,hu,toga,fabufuri,-41,165,7,212,82249,80,7431372,70
1599866528016136,ni,kuce,nuzeqequ,71,16,1,736,33795,85,591386,4616471
1599866528016156,zy,quji,nulypydy,-48,-131,9,523,65686,53,990018,46
1599866528016176,ke,gaqe,qivynymu,75,125,2,101,48931,34,8361410,896890
1599866528016196,ma,haqy,sakutose,-9,-178,4,528,57492,32,9481234,40
1599866528016216,zi,baho,cevoxomy,-54,-54,8,450,25792,93,99012,5389812
1599866528016236,ku,hedo,lymymahe,8,99,10,840,61821,15,4611064,29
1599866528016256,by,geri,bexaretu,-57,164,8,242,6894,9,9688146,3988406
1599866528016276,di,xela,napupifo,-46,75,6,71,14363,524227,81,5
1599866528016296,ba,lyku,wocuneme,-11,58,10,42,1135,11,5215406,5865766
1599866528016316,bi,luzi,koporawo,8,29,4,602,37386,14,4089063,13
1599866528016336,fy,qyly,febedocu,-49,-133,1,7,71240,68,1809672,34238
